ID,Name,Production_Year
1,Outkast,1992
2,B. B. King,1942
3,The White Stripes,1977
4,MGMT,2002
5,Wilco,1994
6,ZZ Top,1969
7,Kiss,1973
8,Cyndi Lauper,1977
9,Earth Wind and Fire,1969
10,Pearl Jam,1990
11,D'Angelo,1991
12,Funkadelic,1964
13,The Notorious B.I.G.,1993
14,The Smiths,1982
15,George Michael,1981
16,LL Cool J,1984
17,The Fugees,1993,
18,Bruce Springsteen,1964
19,Coldplay,1996
20,Def Leppard,1977
21,Elton John,1962
22,Marvin Gaye,1957
23,Los Lobos,1973
24,Amy Winehouse,1997
25,The Police,1977
26,Steve Miller Band,1966
27,War,1969
28,Devo,1973
29,Sam Cooke,1951
30,Lil Wayne,1996
31,Beck,1989
32,Nirvana,1987
33,Vampire Weekend,2006
34,Gram Parsons,1963
35,Diana Ross and The Supremes,1959
36,U2,1976
37,Van Halen,1972
38,Minuteman,1980
39,Eric Clapton,1962
40,Bob Dylan,1961
41,Sinead O'Connor,1986
42,Lynyrd Skynyrd,1964
43,Nas,1991
44,Red Hot Chili Peppers,1983
45,The Temptations,1960
46,LCD Soundsystem,2002
47,Randy Newman,1961
48,M.I.A.,2000
49,The Beatles,1960
50,Wu-Tang Clan,1992
51,Steely Dan,1972
52,The Beach Boys,1961
53,Toots and the Maytals,1962
54,TLC,1991
55,Björk,1975
56,Arctic Monkeys,2002
57,The Eagles,1971
58,Madonna,1979
59,The Doors,1965
60,The Smashing Pumpkins,1988
61,Miles Davis,1944
62,The Rolling Stones,1962
63,Billy Joel,1965
64,Kanye West,1996
65,Jay-Z,1988
66,Muddy Water,1941
67,Pink Floyd,1965
68,De La Soul,1988
69,Meat Loaf,1968
70,Tom Waits,1971
71,Talking Heads,1975
72,Radiohead,1985
73,Soundgarden,1984
74,Neil Young,1963
75,James Brown,1953
76,The Cure,1976
77,David Bowie,1962
78,The Velvet Underground,1964
79,Top Petty and the Heartbreakers,1976
80,Lauryn Hill,1988
81,Frank Sinatra,1935
82,Public Enemy,1985
83,Weezer,1992
84,Al Green,1995
85,Grateful Dead,1965
86,Stevie Wonder,1961
87,Barry White,1959
88,Parliament,1968
89,Eminem,1988
90,The Who,1964
91,Ray Charles,1947
92,Tracy Chapman,1986
93,Willie Nelson,1956
94,Dr. Dre,1985
95,Metallica,1981
96,Run-D.M.C.,1983
97,Simon and Garfunkel,1956
98,Queen,1970
99,Aerosmith,1970
100,Elvis Presley,1953
